Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Name	Organism Infraspecific Names Strain	Assembly BioSample Strain 	Assembly Sequencing Tech	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Genome Coverage	Assembly BioSample Project name  	CheckM completeness	CheckM completeness percentile	CheckM contamination	Assembly Release Date
GCF_032703345.1	Achromobacter xylosoxidans	85698	PRJNA940286	SAMN33560443	ASM3270334v1	L7	L7	Illumina NovaSeq; PacBio Sequel	1	6939500	174.0x		94.25	45.66474	8.12	2023-10-16
GCF_033096405.1	Achromobacter xylosoxidans	85698	PRJDB15726	SAMD00597894	ASM3309640v1	H1_3_1	H1_3_1	Sequel IIe	1	7071873	26.0x		94.4	51.445087	9.46	2023-07-08
GCF_040438975.1	Achromobacter xylosoxidans	85698	PRJNA1097799	SAMN40890074	ASM4043897v1	zafu-3	zafu-3	Illumina; PacBio Sequel	1	6650369	220.5x		94.28	47.398846	5.74	2024-07-02
GCF_020735645.1	Acidaminococcus fermentans DSM 20731	591001	PRJNA231221	SAMN22091668	ASM2073564v1	FDAARGOS_1571	FDAARGOS_1571	Pacbio; Illumina	1	2333188	3393.6x		99.58	100	1.17	2021-11-03
GCF_025144545.1	Acidaminococcus intestini	187327	PRJNA746600	SAMN20222632	ASM2514454v1	D21	D21	Illumina HiSeq; Oxford Nanopore	1	2305309	100.0x		96.72	96.61017	0.32	2022-09-12
GCF_003352165.1	Acidibrevibacterium fodinaquatile	1969806	PRJNA454169	SAMN09005679	ASM335216v1	G45-3	G45-3	PacBio	4	4037611	100.0x		98.96	100	0.95	2018-08-01
GCF_003184265.1	Acidiferrobacter sp. SPIII_3	1281578	PRJNA433900	SAMN08523059	ASM318426v1	SPIII_3	SPIII_3	PacBio; Illumina MiSeq	1	3398398	150.0x		96.44	100	3.09	2018-06-04
GCF_001705075.2	Acidiferrobacter thiooxydans	163359	PRJNA324464	SAMN05526184	ASM170507v2	ZJ	ZJ	PacBio RS; Illumina HiSeq	1	3302271	81.0x		98.13	100	1.97	2021-11-10
GCF_001753245.1	Acidihalobacter yilgarnensis	2819280	PRJNA344521	SAMN05828143	ASM175324v1	F5	F5	PacBio	1	3566941	223.0x		90.32	100	5.42	2016-10-06
GCF_004103715.1	Acidilutibacter cellobiosedens	2507161	PRJNA515184	SAMN10743633	ASM410371v1	JN-28	JN-28	PacBio	1	3743723	88.6x		98.99	100		2019-01-23
GCF_022558965.1	Acidiphilium multivorum	62140	PRJNA543372	SAMN11664870	ASM2255896v1	JZ-6	JZ-6	PacBio Sequel	6	4422440	206.0x		98.52	75	5.25	2022-03-14
GCF_001441165.1	Acidipropionibacterium acidipropionici	1748	PRJNA300904	SAMN04230714	ASM144116v1	CGMCC 1.2230	CGMCC 1.2230	PacBio RS II	1	3651382	75.8x		96.52	100	0.44	2015-11-09
GCF_001602115.1	Acidipropionibacterium acidipropionici	1748	PRJNA310791	SAMN04455717	ASM160211v1	ATCC 55737	ATCC 55737	PacBio; Illumina HiSeq	2	3707191	300.0x		89.49	36.363636	3.71	2016-03-30
GCF_001855335.1	Acidipropionibacterium acidipropionici	1748	PRJNA322112	SAMN05017605	ASM185533v1	F3E8	F3E8	Illumina: PacBio	1	3631890	300.0x		89.01	18.181818	2.52	2016-10-27
GCF_001975205.1	Acidipropionibacterium acidipropionici	1748	PRJNA301197	SAMN04230715	ASM197520v1	WSH1105	WSH1105	PacBio	1	3645455	70.7x		96.52	100	0.49	2017-01-30
GCF_003956085.1	Acidipropionibacterium acidipropionici	1748	PRJNA481392	SAMN09667102	ASM395608v1	WGS7	WGS7	PacBio	1	3615145	500.0x		89.03	27.272728	2.79	2018-12-19
GCF_005890155.1	Acidipropionibacterium acidipropionici	1748	PRJNA543085	SAMN11653933	ASM589015v1	FAM 19036	FAM 19036	PacBio	1	3622795	119.0x		89.59	45.454544	1.7	2019-05-30
GCF_005890135.1	Acidipropionibacterium jensenii	1749	PRJNA543085	SAMN11653934	ASM589013v1	FAM 19038	FAM 19038	PacBio	1	2999408	117.0x		95.92	93.75		2019-05-30
GCF_004011055.1	Acidipropionibacterium jensenii	1749	PRJNA427674	SAMN08242443	ASM401105v1	JS280	JS280	PacBio RSII	1	3044937	380.0x		95.92	93.75		2019-01-10
GCF_004011075.1	Acidipropionibacterium jensenii	1749	PRJNA427674	SAMN08242442	ASM401107v1	JS279	JS279	PacBio RSII	1	3032477	215.0x		95.92	93.75		2019-01-10
GCF_003325455.1	Acidipropionibacterium virtanenii	2057246	PRJNA420916	SAMN08125534	ASM332545v1	JS278	JS278	PacBio	1	3432872	160.0x		98.3	100		2018-07-17
GCF_003330725.1	Acidisarcina polymorpha	2211140	PRJNA476855	SAMN09460743	ASM333072v1	SBC82	SBC82	454; Nanopore	5	7600726	124.0x		98.86	100	1.68	2018-07-20
GCF_001650235.3	Acidithiobacillus caldus	33059	PRJNA318365	SAMN04849265	ASM165023v3	MTH-04	MTH-04	Illumina HiSeq; PacBio	3	2950006	207.6x		93.23	47.61905	3.04	2019-09-06
GCF_003966655.1	Acidithiobacillus ferridurans	1232575	PRJDB7175	SAMD00129984	ASM396665v1	JCM 18981	JCM 18981	PacBio RSII	1	2921399	283.0x	Complete genome sequencing of JCM 18981	97.62	42.857143	3.2	2018-07-20
GCF_028215975.1	Acidithiobacillus ferriphilus	1689834	PRJNA925670	SAMN32803239	ASM2821597v1	YL25	YL25	Oxford Nanopore PromethION	3	2694052	500.0x		97	38.095238	2.48	2023-01-30
GCF_020844025.1	Acidithiobacillus ferriphilus	1689834	PRJNA751914	SAMN20559762	ASM2084402v1	GT2	GT2	PacBio Sequel	2	2539320	50.0x		97.16	42.857143	2.07	2021-11-12
GCF_016250455.1	Acidithiobacillus ferrivorans	160808	PRJNA648684	SAMN15644336	ASM1625045v1	XJFY6S-08	XJFY6S-08	Oxford Nanopore GridION	1	3161380	465.0x		98.13	42.857143	2.36	2020-12-22
GCF_013462805.1	Acidithiobacillus ferrooxidans	920	PRJNA543563	SAMN11772250	ASM1346280v1	YNTRS-40	YNTRS-40	Oxford Nanopore GridION	2	3257037	152.2x		96.14	83.333336	9.19	2020-07-22
GCF_019856615.1	Acidithiobacillus ferrooxidans	920	PRJNA758158	SAMN21013934	ASM1985661v1	BYM	BYM	Illumina MiSeq; PacBio	2	3255499	352.0x		96.14	83.333336	9.58	2021-09-02
GCF_020887015.1	Acidithiobacillus ferrooxidans	920	PRJDB12184	SAMD00400416	ASM2088701v1	NFP31	NFP31	PromethION; MGISEQ 2000-RS	2	3249854	422.0x	Genome sequence of Acidithiobacillus ferrooxidans NFP31	96.14	83.333336	9.21	2021-10-01
GCF_008926505.1	Acidithiobacillus sp. 'AMD consortium'	2614801	PRJNA573091	SAMN12799170	ASM892650v1	AMD consortium	AMD consortium	PacBio Sequel	1	2933811	333.0x		98.79	100	3.21	2019-10-09
GCF_030996345.1	Acidithiobacillus sp. AMEEHan	2994951	PRJNA901630	SAMN31721705	ASM3099634v1	AMEEHan	AMEEHan	PacBio	6	2630391	100.0x		92.66	100	5.51	2023-08-30
GCF_009662475.1	Acidithiobacillus thiooxidans ATCC 19377	637390	PRJNA577769	SAMN13037501	ASM966247v1	ATCC 19377	ATCC 19377	PacBio Sequel	1	3415726	237.7x		96.29	97.05882	3.66	2019-11-14
GCF_027626035.1	Acidocella sp. MX-AZ03	2697363	PRJNA600222	SAMN13808811	ASM2762603v1	MX-AZ03	MX-AZ03	PacBio	1	3735595	294.0x		70.98	100	1.01	2023-01-10
GCF_002157165.1	Acidovorax carolinensis	553814	PRJNA285679	SAMN03755631	ASM215716v1	NA2	NA2	PacBio	2	4058023	111.0x		99.61	100	0.7	2017-05-24
GCF_002157125.1	Acidovorax carolinensis	553814	PRJNA285679	SAMN03755634	ASM215712v1	P4	P4	PacBio	5	4704737	98.0x		97.37	75	0.96	2017-05-24
GCF_002157145.1	Acidovorax carolinensis	553814	PRJNA285679	SAMN03755632	ASM215714v1	NA3	NA3	PacBio	1	4122625	72.0x		90.16	50	0.85	2017-05-24
GCF_002157185.1	Acidovorax carolinensis	553814	PRJNA285679	SAMN03755633	ASM215718v1	P3	P3	PacBio	4	4565632	65.0x		86.35	25	1.06	2017-05-24
GCF_020510705.1	Acidovorax radicis	758826	PRJNA727717	SAMN19030609	ASM2051070v1	79	79	PacBio Sequel	1	4995154	232.0x		99.35	100	1.9	2021-10-15
GCF_003669015.1	Acidovorax sp. 1608163	2478662	PRJNA495607	SAMN10228555	ASM366901v1			PacBio RSII	1	5045878	215.2x		94.4	100	1.28	2018-10-22
GCF_041154505.1	Acidovorax sp. A79	3056107	PRJDB16018	SAMD00623157	ASM4115450v1	A79	A79	PacBio	2	5872218	74.0x		99.13	100	3.62	2024-08-10
GCF_037101375.1	Acidovorax sp. DW039	3095606	PRJDB17029	SAMD00659498	ASM3710137v1	DW039	DW039	PacBio Sequel II	2	5219685	137.0x		98.71	100	1.43	2024-04-05
GCF_038958875.1	Acidovorax sp. FHTAMBA	3140252	PRJNA1101079	SAMN40984376	ASM3895887v1	FHTAMBA	FHTAMBA	Oxford Nanopore; Illumina	1	4752276	37.0x		99.65	100	0.39	2024-05-03
GCF_028473645.1	Acidovorax sp. GBBC 1281	2940492	PRJNA834920	SAMN28084394	ASM2847364v1	GBBC 1281	GBBC 1281	Illumina; Oxford Nanopore	2	5708010	270.0x		98.64	100	2.56	2023-02-06
GCF_028473465.1	Acidovorax sp. GBBC 712	2940491	PRJNA834920	SAMN28084393	ASM2847346v1	GBBC 712	GBBC 712	Illumina; Oxford Nanopore	1	5586262	277.0x		99.25	100	1.07	2023-02-06
GCF_011303755.1	Acidovorax sp. HDW3	2714923	PRJNA609829	SAMN14260602	ASM1130375v1	HDW3	HDW3	PacBio RSII; Illumina HiSeq	1	3152246	330.0x		90.3	100	1.97	2020-03-16
GCF_028473605.1	Acidovorax sp. NCPPB 3576	2940488	PRJNA834920	SAMN28084390	ASM2847360v1	NCPPB 3576	NCPPB 3576	Illumina; Oxford Nanopore	1	5414205	292.0x		98.88	100	2.46	2023-02-06
GCF_028473585.1	Acidovorax sp. NCPPB 3859	2940489	PRJNA834920	SAMN28084391	ASM2847358v1	NCPPB 3859	NCPPB 3859	Illumina; Oxford Nanopore	1	5593754	298.0x		99.25	100	1.07	2023-02-06
GCF_001714725.1	Acidovorax sp. RAC01	1842533	PRJNA319830	SAMN04909706	ASM171472v1	RAC01	RAC01	PacBio	1	4574859	198.0x		98.94	100	0.95	2016-08-26
GCF_002176815.1	Acidovorax sp. T1	1858609	PRJNA388301	SAMN07174971	ASM217681v1	T1	T1	Illumina MiSeq; PacBio	4	4416593	392.5x		97.82	100	1.67	2017-06-08
GCF_028596105.1	Acidovorax temperans	80878	PRJNA930884	SAMN33025486	ASM2859610v1	LMJ	LMJ	PacBio Sequel	3	4730769	2535.7x		98.72	70	0.45	2023-02-12
GCF_030762805.1	Aciduricibacillus chroicocephali	3054939	PRJNA983115	SAMN35722534	ASM3076280v1	44XB	44XB	DNBSEQ; Nanopore	1	2730537	410.0x		96.98	100	0.66	2023-08-16
GCF_009035845.1	Acinetobacter baumannii	470	PRJNA557095	SAMN12389466	ASM903584v1	ATCC 19606	ATCC 19606	Illumina MiSeq; Oxford Nanopore MiniION	3	3999136	100.0x		99.52	39.490444	0.06	2019-10-16
GCF_000746605.1	Acinetobacter baumannii	470	PRJNA256158	SAMN02940901	ASM74660v1	AB31	AB31	PacBio	1	3803317	88.9x		99.78	62.767807	0.82	2014-08-29
GCF_000746645.1	Acinetobacter baumannii	470	PRJNA256157	SAMN02940899	ASM74664v1	AB30	AB30	PacBio	1	4335793	93.3x		99.57	42.749607	0.98	2014-08-29
GCF_000794125.2	Acinetobacter baumannii	470	PRJNA263680	SAMN03105183	ASM79412v2	AB6870155	AB6870155	Illumina, OxfordNanopore	4	4003329	282.0x		99.61	51.617172	0.25	2022-12-21
GCF_000814345.1	Acinetobacter baumannii	470	PRJNA270223	SAMN03263969	ASM81434v1	6200	6200	Pacbio RS	4	4073976	10.1x		97.93	5.385061	0.84	2015-01-05
GCF_000828935.1	Acinetobacter baumannii	470	PRJDB3154	SAMD00020223	ASM82893v1	IOMTU433	IOMTU433	PacBio RSII	2	4190324	1030.0x	Complete genome sequence of Acinetobacter baumannii IOMTU433	99.86	79.84118	0.84	2014-10-02
GCF_000830055.1	Acinetobacter baumannii	470	PRJNA269083	SAMN03248539	ASM83005v1	A1		Illumina HiSeq; PacBio	2	3917739	280.0x		99.61	51.617172	0.25	2015-01-29
GCF_000963815.1	Acinetobacter baumannii	470	PRJNA243297	SAMN02894434	ASM96381v1	AB5075-UW	AB5075-UW	PacBio	4	4066980	70.0x		99.57	42.749607	0.17	2015-03-27
GCF_001026965.1	Acinetobacter baumannii	470	PRJNA273343	SAMN03290686	ASM102696v1	XH386	XH386	Illumina; PacBio	2	4199500			99.61	51.617172	0.17	2015-06-03
GCF_001077555.2	Acinetobacter baumannii	470	PRJNA286787	SAMN03770534	ASM107755v2	B8342	B8342	PacBio	1	3947826	18.6x		98.59	9.438333	0.79	2017-05-23
GCF_001077655.1	Acinetobacter baumannii	470	PRJNA288605	SAMN03817045	ASM107765v1	Ab04-mff	Ab04-mff	Illumina; PacBio	3	4192280	145.0x		99.54	41.10348	0.36	2015-07-14
GCF_001077675.1	Acinetobacter baumannii	470	PRJNA288605	SAMN03817043	ASM107767v1	ATCC 17978-mff	ATCC 17978-mff	Illumina; PacBio	2	4006698	153.0x		98.45	8.032095	0.67	2015-07-14
GCF_001077965.2	Acinetobacter baumannii	470	PRJNA286871	SAMN03771402	ASM107796v2	B8300	B8300	PacBio	2	3850058	18.3x		99.15	19.596327	1.58	2017-05-31
GCF_001399655.1	Acinetobacter baumannii	470	PRJNA294725	SAMN04029125	ASM139965v1	D36	D36	PacBio	5	4131161	150.0x		98.94	14.202994	0.6	2015-10-19
GCF_001514375.1	Acinetobacter baumannii	470	PRJNA291316	SAMN03941550	ASM151437v1	KBN10P02143	KBN10P02143	PacBio RS II with P6-C4 chemistry	2	4139396	142.0x		99.19	21.416164	0.17	2016-01-14
GCF_001543995.1	Acinetobacter baumannii	470	PRJNA309091	SAMN04448797	ASM154399v1	YU-R612	YU-R612	PacBio	3	4155251	227.0x		99.26	23.310448	0.5	2016-02-02
GCF_001573065.1	Acinetobacter baumannii	470	PRJNA290306	SAMN03890258	ASM157306v1	XH860	XH860	Pacbio RSII	1	3846621	70.0x		99.13	19.27372	0.19	2016-02-25
GCF_001573085.1	Acinetobacter baumannii	470	PRJNA290306	SAMN03890257	ASM157308v1	XH859	XH859	Pacbio RSII	1	3977071	70.0x		99.14	19.40607	0.17	2016-02-25
GCF_001573105.1	Acinetobacter baumannii	470	PRJNA290306	SAMN03890255	ASM157310v1	XH857	XH857	Pacbio RSII	1	3879636	70.0x		99.53	39.76342	0.34	2016-02-25
GCF_001573125.1	Acinetobacter baumannii	470	PRJNA290306	SAMN03890253	ASM157312v1	XH856	XH856	Pacbio RSII	1	3908399	70.0x		99.58	43.196293	0.17	2016-02-25
GCF_001578145.1	Acinetobacter baumannii	470	PRJNA290306	SAMN03890256	ASM157814v1	XH858	XH858	PacBio RSII	1	4172609	70.0x		98.76	10.902473	0.25	2016-03-01
GCF_001636235.1	Acinetobacter baumannii	470	PRJNA311558	SAMN04485290	ASM163623v1	3207	3207	Illumina MiSeq; PacBio RSII	3	4092036	336.0x		99	14.757217	0.66	2016-05-03
GCF_001668465.2	Acinetobacter baumannii	470	PRJNA271775	SAMN05238697	ASM166846v2	ABUH773	ABUH773	Illumina NextSeq and Oxford Nanopore	2	3885710	200.0x		99.94	98.80884	0.17	2019-01-22
GCF_001669145.2	Acinetobacter baumannii	470	PRJNA271775	SAMN05238672	ASM166914v2	ABUH793	ABUH793	Illumina NextSeq and Oxford Nanopore	4	4107868	200.0x		99.39	28.860949	0.17	2019-01-22
GCF_001674475.2	Acinetobacter baumannii	470	PRJNA271775	SAMN05238628	ASM167447v2	ABUH763	ABUH763	Illumina NextSeq and Oxford Nanopore	3	4014469	200.0x		99.58	43.196293	0.17	2019-01-22
GCF_001674505.2	Acinetobacter baumannii	470	PRJNA271775	SAMN05238571	ASM167450v2	ABUH796	ABUH796	Illumina NextSeq and Oxford Nanopore	2	3943749	200.0x		99.61	51.617172	0.17	2019-01-22
GCF_001721705.1	Acinetobacter baumannii	470	PRJNA294251	SAMN04018777	ASM172170v1	CA-17	CA-17	PacBio	1	3719282	120.0x		99.79	63.82662	0.08	2016-09-08
GCF_001806345.1	Acinetobacter baumannii	470	PRJNA339667	SAMN05601665	ASM180634v1	KAB01	KAB01	PacBio	2	4034092	200.0x		98.35	7.2876167	0.25	2016-10-21
GCF_001806365.1	Acinetobacter baumannii	470	PRJNA339683	SAMN05601667	ASM180636v1	KAB02	KAB02	PacBio	2	4086205	200.0x		99.73	56.936058	0.17	2016-10-21
GCF_001806385.1	Acinetobacter baumannii	470	PRJNA339684	SAMN05601668	ASM180638v1	KAB03	KAB03	PacBio	2	4056960	200.0x		98.85	12.548598	0.25	2016-10-21
GCF_001806405.1	Acinetobacter baumannii	470	PRJNA339686	SAMN05601669	ASM180640v1	KAB04	KAB04	PacBio	2	4128124	200.0x		99.28	25.85822	0.38	2016-10-21
GCF_001806445.1	Acinetobacter baumannii	470	PRJNA339689	SAMN05601671	ASM180644v1	KAB06	KAB06	PacBio	2	4038715	200.0x		99.43	30.540161	0.17	2016-10-21
GCF_001806465.1	Acinetobacter baumannii	470	PRJNA339690	SAMN05601672	ASM180646v1	KAB07	KAB07	PacBio	2	4054434	200.0x		99.1	18.529242	0.17	2016-10-21
GCF_001806485.1	Acinetobacter baumannii	470	PRJNA339692	SAMN05601673	ASM180648v1	KAB08	KAB08	PacBio	2	4075169	200.0x		98.58	9.355613	0.17	2016-10-21
GCF_001887305.1	Acinetobacter baumannii	470	PRJNA348168	SAMN06046790	ASM188730v1	HRAB-85	HRAB-85	PacBio	2	4098585	12.0x		99.58	43.196293	0.25	2016-11-29
GCF_001895125.2	Acinetobacter baumannii	470	PRJDB5156	SAMD00059694	ASM189512v2	OCU_Ac16a	OCU_Ac16a	Illumina MiSeq; Pacific Biosciences PacBio RS II	4	4119274	325.8x	OCU Acinetobacter spp. Genome Project	99.86	79.84118	0.83	2020-07-10
GCF_001895985.1	Acinetobacter baumannii	470	PRJNA271775	SAMN06077192	ASM189598v1	AF-673	AF-673	PacBio	2	4093104	10.6x		99.16	20.324263	0.17	2016-12-09
GCF_001896005.1	Acinetobacter baumannii	470	PRJNA271775	SAMN06077191	ASM189600v1	AF-401	AF-401	PacBio	2	4267631	13.7x		99.36	27.793861	1.32	2016-12-09
GCF_001902375.1	Acinetobacter baumannii	470	PRJNA356204	SAMN06109232	ASM190237v1	XDR-BJ83	XDR-BJ83	PacBio	2	4080621	64.0x		98.55	9.107453	0.17	2016-12-13
GCF_001908295.1	Acinetobacter baumannii	470	PRJNA328023	SAMN05362953	ASM190829v1	LAC4	LAC4	PacBio	3	3988690	69.8x		98.48	8.387791	0.34	2016-12-19
GCF_001922205.1	Acinetobacter baumannii	470	PRJNA296424	SAMN04096368	ASM192220v1	CMC-CR-MDR-Ab4	CMC-CR-MDR-Ab4	PacBio RS II	3	4156005	165.0x		99.72	56.671352	0.17	2016-12-27
GCF_001922225.1	Acinetobacter baumannii	470	PRJNA296424	SAMN04096369	ASM192222v1	CMC-MDR-Ab59	CMC-MDR-Ab59	PacBio RS II	2	4076357	161.0x		99.94	98.80884	0.17	2016-12-27
GCF_001922245.1	Acinetobacter baumannii	470	PRJNA296424	SAMN04096370	ASM192224v1	CMC-CR-MDR-Ab66	CMC-CR-MDR-Ab66	PacBio RS II	3	4174158	188.0x		99.94	98.80884	0.62	2016-12-27
GCF_001941765.1	Acinetobacter baumannii	470	PRJNA305150	SAMN04273154	ASM194176v1	AB042	AB042	PacBio	1	4004719	185.0x		98.45	8.032095	0.67	2017-01-10
GCF_002082625.2	Acinetobacter baumannii	470	PRJNA380857	SAMN06650260	ASM208262v2	JBA13	JBA13	PacBio	2	4065873	452.0x		99.7	55.091404	0.17	2017-04-10
GCF_002082645.1	Acinetobacter baumannii	470	PRJNA380857	SAMN06650245	ASM208264v1	CBA7	CBA7	PacBio	2	4108454	426.0x		98.67	10.199355	0.17	2017-04-10
GCF_002082685.1	Acinetobacter baumannii	470	PRJNA380857	SAMN06650243	ASM208268v1	15A34	15A34	PacBio	2	3938733	399.0x		97.95	5.4429646	0.17	2017-04-10
GCF_002082705.1	Acinetobacter baumannii	470	PRJNA380857	SAMN06650264	ASM208270v1	15A5	15A5	PacBio	3	4049307	446.0x		99.36	27.793861	0.17	2017-04-10
GCF_002082725.1	Acinetobacter baumannii	470	PRJNA380857	SAMN06650241	ASM208272v1	USA2	USA2	PacBio	2	3987599	363.0x		99.41	29.812225	0.17	2017-04-10
GCF_002082745.1	Acinetobacter baumannii	470	PRJNA380857	SAMN06650242	ASM208274v1	SSA6	SSA6	PacBio	1	3884414	475.0x		99.02	15.088097	0.17	2017-04-10
GCF_002082785.1	Acinetobacter baumannii	470	PRJNA380857	SAMN06650239	ASM208278v1	HWBA8	HWBA8	PacBio	2	4273551	284.0x		99.73	56.936058	0.53	2017-04-10
GCF_002082805.1	Acinetobacter baumannii	470	PRJNA380857	SAMN06650238	ASM208280v1	WKA02	WKA02	PacBio	1	3870945	360.0x		99.43	30.540161	0.25	2017-04-10
GCF_002082825.1	Acinetobacter baumannii	470	PRJNA380857	SAMN06650240	ASM208282v1	USA15	USA15	PacBio	2	4028479	276.0x		98.54	8.999917	0.25	2017-04-10
GCF_002082845.1	Acinetobacter baumannii	470	PRJNA380857	SAMN06650262	ASM208284v1	SAA14	SAA14	PacBio	1	3972565	456.0x		99.3	26.230457	0.17	2017-04-10
GCF_002082865.1	Acinetobacter baumannii	470	PRJNA380857	SAMN06650263	ASM208286v1	SSA12	SSA12	PacBio	3	4064716	426.0x		99.44	32.508892	0.17	2017-04-10
GCF_002082885.1	Acinetobacter baumannii	470	PRJNA380857	SAMN06650261	ASM208288v1	SSMA17	SSMA17	PacBio	2	4023177	423.0x		99.66	53.701714	0.17	2017-04-10
GCF_002116925.1	Acinetobacter baumannii	470	PRJNA317553	SAMN04621185	ASM211692v1	ab736	ab736	PacBio	2	3990425	516.0x		99.52	39.490444	0.06	2017-05-02
GCF_002210065.1	Acinetobacter baumannii	470	PRJNA269083	SAMN07125723	ASM221006v1	A85	A85	Illumina HiSeq; PacBio	6	4144615	369.0x		99.61	51.617172	0.25	2017-06-28
GCF_002504145.1	Acinetobacter baumannii	470	PRJNA355911	SAMN06099024	ASM250414v1	A1296	A1296	PacBio	3	3810701	200.0x		99.1	18.529242	0.55	2017-10-10
GCF_002741415.1	Acinetobacter baumannii	470	PRJNA269083	SAMN07736509	ASM274141v1	A388	A388	Illumina HiSeq; MinION	2	4032048	250.0x		99.27	25.560427	0.25	2017-11-02
GCF_002761575.1	Acinetobacter baumannii	470	PRJNA396979	SAMN07445112	ASM276157v1	AYP-A2	AYP-A2	Illumina HiSeq; Oxford Nanopore	2	4102702	199.7x		99.58	43.196293	0.17	2017-11-07
GCF_002762095.1	Acinetobacter baumannii	470	PRJNA416164	SAMN07943355	ASM276209v1	Ab4977	Ab4977	PacBio	1	3966912	300.0x		99.78	62.767807	0.17	2017-11-08
GCF_002762115.1	Acinetobacter baumannii	470	PRJNA416164	SAMN07943353	ASM276211v1	Ab4568	Ab4568	PacBio	1	4000452	300.0x		99.36	27.793861	0.17	2017-11-08
GCF_002762155.1	Acinetobacter baumannii	470	PRJNA416164	SAMN07943354	ASM276215v1	Ab4653	Ab4653	PacBio	1	3913931	300.0x		99.84	77.03697	0.17	2017-11-08
GCF_002843665.1	Acinetobacter baumannii	470	PRJNA419431	SAMN08054861	ASM284366v1			PacBio	2	4058089	200.0x		99.04	15.43552	0.17	2017-12-17
GCF_002902885.1	Acinetobacter baumannii	470	PRJNA430813	SAMN06040401	ASM290288v1	ABNIH28	ABNIH28	PacBio RSII	5	4078838	221.0x		98.64	9.885019	1.58	2018-01-29
GCF_002947415.1	Acinetobacter baumannii	470	PRJNA292904	SAMN04014897	ASM294741v1	AR_0056	AR_0056	PacBio RSII	4	4188385	150.0x		99.15	19.596327	0.17	2018-02-18
GCF_002947845.1	Acinetobacter baumannii	470	PRJNA292904	SAMN04014904	ASM294784v1	AR_0063	AR_0063	PacBio RSII	2	4101751	296.0x		98.45	8.032095	0.66	2018-02-18
GCF_002948925.1	Acinetobacter baumannii	470	PRJNA292904	SAMN04014919	ASM294892v1	AR_0078	AR_0078	PacBio RSII	1	3871930	155.0x		99.49	33.96476	0.17	2018-02-19
GCF_002950495.2	Acinetobacter baumannii	470	PRJNA387062	SAMN08364585	ASM295049v2	WCHAB005133	WCHAB005133	Illumina HiSeq; MinION	3	3941678	200.0x		99.94	98.80884	0.17	2019-08-16
GCF_002996805.1	Acinetobacter baumannii	470	PRJNA292904	SAMN04014924	ASM299680v1	AR_0083	AR_0083	PacBio RSII	2	4158175	220.0x		99.61	51.617172	1.31	2018-03-14
GCF_002999195.2	Acinetobacter baumannii	470	PRJNA387062	SAMN08364584	ASM299919v2	WCHAB005078	WCHAB005078	Illumina HiSeq; MinION	4	4140048	200.0x		99.78	62.767807	0.25	2019-08-16
GCF_003006035.1	Acinetobacter baumannii	470	PRJNA292904	SAMN04014929	ASM300603v1	AR_0088	AR_0088	PacBio RSII	3	4228300	209.0x		99.58	43.196293	0.56	2018-03-16
GCF_003010655.1	Acinetobacter baumannii	470	PRJNA292904	SAMN04014943	ASM301065v1	AR_0102	AR_0102	PacBio RSII	3	4060325	404.0x		99.94	98.80884	0.17	2018-03-19
GCF_003010675.1	Acinetobacter baumannii	470	PRJNA292904	SAMN04014942	ASM301067v1	AR_0101	AR_0101	PacBio RSII	2	4249922	253.0x		99.54	41.10348	2.33	2018-03-19
GCF_003029495.1	Acinetobacter baumannii	470	PRJNA316321	SAMN04014897	ASM302949v1	AR_0056	AR_0056	Pacbio; Illumina	4	4188380	16.7x		99.15	19.596327	0.17	2018-04-02
GCF_003181015.1	Acinetobacter baumannii	470	PRJNA472712	SAMN09241862	ASM318101v1	DA33098	DA33098	PacBio; Illumina HiSeq 2000	5	4173004	150.0x		99.27	25.560427	0.17	2018-05-31
GCF_003264255.1	Acinetobacter baumannii	470	PRJNA361029	SAMN07135563	ASM326425v1	XH731	XH731	PacBio	2	3979135	100.0x		99.81	64.58764	0.25	2018-06-25
GCF_003264275.1	Acinetobacter baumannii	470	PRJNA273343	SAMN07135565	ASM326427v1	XH386	XH386	PacBio	2	4221037	100.0x		99.5	36.84341	0.17	2018-06-25
GCF_003264295.1	Acinetobacter baumannii	470	PRJNA361029	SAMN06219545	ASM326429v1	XH731	XH731	PacBio	2	3974327	300.0x		99.83	75.994705	0.25	2018-06-25
GCF_003288775.1	Acinetobacter baumannii	470	PRJNA475448	SAMN09389171	ASM328877v1	Aba	Aba	PacBio	2	3920467	120.0x		99.27	25.560427	0.25	2018-07-05
GCF_003296225.1	Acinetobacter baumannii	470	PRJNA472712	SAMN09460321	ASM329622v1	DA33382	DA33382	PacBio; Illumina MiSeq	4	4036816	145.0x		98.56	9.264621	0.25	2018-07-09
GCF_003345235.1	Acinetobacter baumannii	470	PRJNA311558	SAMN07559626	ASM334523v1	810CP	810CP	PacBio RSII; Illumina NextSeq 500	3	4111057	464.3x		99.5	36.84341	1.32	2018-07-30
GCF_003431385.1	Acinetobacter baumannii	470	PRJNA311558	SAMN07289440	ASM343138v1	7804	7804	PacBio RSII	3	4342018	98.0x		97.25	3.6065845	0.53	2017-07-28
